Comparison,Mean Diff,p-value,Significant,Effect Size
RF vs LDA,0.1946763460375075,0.0625,No,2.1472141623680923
RF vs SVM,0.04470659407138533,0.25,No,0.7413729475282506
SVM vs LDA,0.14996975196612217,0.0625,No,2.0137549283815983
